name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name
"Cafe Coffee Break - CCB Basni","187, District Shopping Center, Saraswati Nagar, Jodhpur, Rajasthan 342005, India","+91 86960 12525","info@cafecoffeebreak.in",26.2345334,73.0162088,"http://cafecoffeebreak.in/","India","Rajasthan","Jodhpur",4.6,1197,"342005","Cafes","Dance clubs,Indian restaurants,Cafes"
"Cafe DR Khokha","267 Tejasvi Greens near Manipal University Dahmi Kalan Bagru, Jaipur II, Rajasthan 303007, India","+91 70149 94650","dholiaresidency@gmail.com",26.8463291,75.5701429,"https://www.dholiaresidency.com/cafe-dr-khokha","India","Rajasthan","",4.9,16,"303007","Cafes","Cafes,Vegetarian restaurants,Pool billard clubs,Vegetarian cafe and delis"
"Chai Thela","Shop no. 3, Vidhyadhar Nagar, Sector 10, Malviya Nagar, Jaipur, Rajasthan 302017, India","+91 11 4108 3720","hello@chaithela.com",26.8501528,75.8121658,"https://chaithela.com/","India","Rajasthan","Jaipur",4.8,40,"302017","Cafes","Cafes"
"Habitz Ice Cream Parlor","Shop No. 3, Bikaner - Agra Rd, near BSNL Office Bajrang Kanta, Vasant Vihar, Sikar, Rajasthan 332001, India","+91 93142 59500","info@habitzicecream.com",27.6045619,75.1513913,"http://www.habitzicecream.com/","India","Rajasthan","",4.5,277,"332001","Cafes","Ice cream shops,Cafes"
"FOI Cafe Alwar","G-2 Visisht Plazza, Manu Marg, Alwar, Rajasthan 301001, India","+91 98264 57459","info@foinoodles.com",27.5597262,76.6045729,"http://foinoodles.com/","India","Rajasthan","Alwar",5,3,"301001","Cafes","Cafes"
"The Chai Theka","A.s commercial shops 28 marudhara nagar, Pawan Puri, Bikaner, Rajasthan 334001, India","+91 82876 80537","thechaitheka2019@gmail.com",27.9940174,73.3317103,"http://www.thechaithekaindia.com/","India","Rajasthan","",4.4,83,"334001","Cafes","Cafes"
"Cafe Coffee Day","Amar Hotel, NH-8, Badgav Village, Ajmer-Jaipur Expy, Kishangarh, Rajasthan 305801, India","+91 1800 102 5093","customercare@cafecoffeeday.com",26.5929967,74.9279988,"https://tolamal.cafecoffeeday.com/","India","Rajasthan","Kishangarh",4.1,1026,"305801","Cafes","Restaurants,Coffee shops,Sandwich shops,Takeout restaurants,Cafes,Pastry shops"
"Tea Post - A Place to Talk","A-92, JDA Colony, Keshar Vihar, Jaipur, Rajasthan 302017, India","+91 92770 00077","support@teapost.in",26.8219829,75.8648511,"http://www.teapost.in/","India","Rajasthan","Jaipur",4,24,"302017","Cafes","Coffee shops,Tea stores,Tea houses,Cafes"
"Coffee Sutra","G-3, Ground Floor, UKMS, AURUM, Tilak Marg, C Scheme, Ashok Nagar, Jaipur, Rajasthan 302001, India","+91 91169 07479","hello@sutracoffee.com",26.9075988,75.8014148,"https://sutracoffee.com/","India","Rajasthan","Jaipur",4.5,329,"302001","Cafes","Cafes"
"Padao Restaurant","WRP6+VXW, Padao Restaurant, Nahargarh Fort, Jaipur, Rajasthan 458558, India","+91 94142 80545","croho.rtdc@rajasthan.gov.in",26.9372325,75.8124426,"https://rtdc.tourism.rajasthan.gov.in/Client/Cafeteria.aspx","India","Rajasthan","Jaipur",4,2922,"458558","Cafes","Coffee shops,Cafes"
"The Lassi Corner","G-01,Plot No, 131, Anugrah Ln, Hanuman Nagar Extension, Rajendra Nagar, Vaishali Nagar, Jaipur, Rajasthan 302021, India","+91 74068 04000","contactus@thelassicorner.com",26.920394,75.7329424,"http://www.lassicorner.com/","India","Rajasthan","Jaipur",3,2,"302021","Cafes","Cafes"
"HIVE BAR & Shack 24×7","Lane No 2, Raja Park, Jaipur, Rajasthan 302004, India","+91 93143 98798","info@hoteldodaspalace.com",26.8951463,75.8266039,"http://www.hoteldodaspalace.com/","India","Rajasthan","Jaipur",4.7,36,"302004","Cafes","Restaurants,Indian restaurants,Bars,Takeout restaurants,Italian restaurants,Cafes,Continental restaurants"
"The Jodhana Heritage","shop no.14,on banar highway, road, BJS Colony, Jodhpur, Rajasthan 342006, India","+91 291 257 2321","salesjodhpur@jodhanaheritage.com",26.3027965,73.0722731,"https://jodhanaheritage.com/","India","Rajasthan","Jodhpur",5,3,"342006","Cafes","Cafes"
"Tea Post - Apni Chai Ki Dukaan","Plot No. 5, 21 & 22 Scheme No.1 Malviya Nagar, Sector, 8, Jawahar Lal Nehru Marg, opp. Hotel Clark, Jaipur, Rajasthan 302018, India","+91 92770 00077","support@teapost.in",26.8451813,75.802844,"https://www.teapost.in/","India","Rajasthan","Jaipur",4.1,614,"302018","Cafes","Coffee stores,Tea stores,Tea houses,Cafes,Coffee stands"
"Café Coffee Day","Manav Ashram Colony, Tonk Rd, Gopalpura Mode, Jaipur, Rajasthan 302018, India","+91 99900 83341","customercare@cafecoffeeday.com",26.8649366,75.7963005,"https://www.cafecoffeeday.com/store-locator/rajasthan/jaipur/tonk-road/tonk-road","India","Rajasthan","Jaipur",4,1,"302018","Cafes","Cafes"
"NOURRITURE HERITAGE","82XQ+F37 Nourriture Heritage, Haveli, Mandore, Jodhpur, Rajasthan 342007, India","+91 99289 03981","urbanleafventure@gmail.com",26.3486706,73.0376813,"https://linktr.ee/nourritureheritage","India","Rajasthan","Jodhpur",4.6,62,"342007","Cafes","Cafes"
"Cafe Kothi","28, Civil Lines Rd, Shivaji Nagar, Civil Lines, Jaipur, Rajasthan 302006, India","+91 76658 34022","reservation@28kothi.com",26.9052673,75.7861761,"http://www.28kothi.com/","India","Rajasthan","Jaipur",4.4,197,"302006","Cafes","Cafes"
